"Distances","pets in SHC video","Site description","SHC description","Cats","Dogs","Rodents","Reptiles","Other species","Apollo","Beal","Bower","Bowie","Ferency","Hedrick","Howland","Miles Davis","New Community","Orion","Phoenix","Raft Hill","Toad Lane","Vesta","Name","Owner","Residence","Bio","Comments","Home","Houses","Species","Submit","News","Contact Us","Instructions","Example"
"pets in SHC video",0.0000,0.5417,0.5000,0.3750,0.3750,0.3750,0.3750,0.3750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,1.0000,1.0000,1.0000,1.0000,0.7500,0.8333,0.7500,0.8750,1.0000,0.8333,0.8333,0.5833,0.7500
"Site description",0.5417,0.0000,0.2917,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.7500,1.0000,0.5417,0.7917,0.8333,1.0000,0.5417,0.7917,0.5417,0.7500
"SHC description",0.5000,0.2917,0.0000,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,1.0000,1.0000,1.0000,0.7500,1.0000,0.8333,0.5000,0.8750,0.7500,0.3333,0.5833,0.3333,0.5000
"Cats",0.3750,0.8333,0.8750,0.0000,0.0000,0.0000,0.0000,0.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,1.0000,0.7500,0.7917,0.8750,0.7500,1.0000,0.7917,0.7917,0.7917,1.0000
"Dogs",0.3750,0.8333,0.8750,0.0000,0.0000,0.0000,0.0000,0.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,1.0000,0.7500,0.7917,0.8750,0.7500,1.0000,0.7917,0.7917,0.7917,1.0000
"Rodents",0.3750,0.8333,0.8750,0.0000,0.0000,0.0000,0.0000,0.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,1.0000,0.7500,0.7917,0.8750,0.7500,1.0000,0.7917,0.7917,0.7917,1.0000
"Reptiles",0.3750,0.8333,0.8750,0.0000,0.0000,0.0000,0.0000,0.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,1.0000,0.7500,0.7917,0.8750,0.7500,1.0000,0.7917,0.7917,0.7917,1.0000
"Other species",0.3750,0.8333,0.8750,0.0000,0.0000,0.0000,0.0000,0.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,1.0000,0.7500,0.7917,0.8750,0.7500,1.0000,0.7917,0.7917,0.7917,1.0000
"Apollo",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Beal",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
